Baseline 100%T,,Baseline 0%T,,Ech noir,,Ech noir_depl,,Ech noir_depl2,,Ech moins noir,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2500,90.21916962,2500,0.4290445149,2500,32.39206696,2500,32.20921326,2500,32.28230286,2500,29.71235466,
2499,90.18584442,2499,0.4506401122,2499,32.23230743,2499,32.24492645,2499,32.38312149,2499,29.69043922,
2498,90.07359314,2498,0.4520175159,2498,32.0749855,2498,32.02769089,2498,32.19029999,2498,29.59452629,
2497,90.16779327,2497,0.3282347918,2497,32.32196808,2497,32.07947922,2497,32.03580856,2497,29.69107246,
2496,90.03381348,2496,0.4224821031,2496,32.14413071,2496,32.09679031,2496,32.06459808,2496,29.57740211,
2495,89.89817047,2495,0.4504107535,2495,32.12641907,2495,31.98833847,2495,32.00144958,2495,29.45646286,
2494,89.73413086,2494,0.3980762661,2494,32.25111389,2494,32.28135681,2494,32.05438995,2494,29.54296112,
2493,89.76868439,2493,0.4488652945,2493,31.99277878,2493,32.10459518,2493,31.84972763,2493,29.45436859,
2492,89.62870789,2492,0.4578724504,2492,32.1674118,2492,32.13687897,2492,31.9396553,2492,29.41197395,
2491,89.6354599,2491,0.3956158161,2491,32.05656052,2491,32.20531464,2491,32.06835556,2491,29.67672729,
2490,89.58776855,2490,0.4963630438,2490,32.05242538,2490,31.84851074,2490,31.92998505,2490,29.26264763,
2489,89.52960205,2489,0.3131749928,2489,32.01469803,2489,32.23266983,2489,32.0880127,2489,29.60238457,
2488,89.48329163,2488,0.3814345598,2488,31.92541313,2488,31.79434586,2488,31.95908356,2488,29.37425613,
2487,89.24259186,2487,0.3501850069,2487,31.98338127,2487,31.96902847,2487,32.05944061,2487,29.65085793,
2486,89.21138763,2486,0.5056552887,2486,31.93986511,2486,31.79858017,2486,31.79412842,2486,29.39173889,
2485,89.04052734,2485,0.5403830409,2485,31.94164085,2485,31.92130661,2485,31.8996048,2485,29.51052856,
2484,89.09692383,2484,0.423031956,2484,31.89240456,2484,31.96305275,2484,32.03217697,2484,29.30714798,
2483,88.98632813,2483,0.3286102116,2483,31.94769859,2483,31.98125648,2483,31.98136711,2483,29.64904976,
2482,88.84147644,2482,0.418443501,2482,31.90405655,2482,31.90510178,2482,31.93180847,2482,29.46842957,
2481,88.88904572,2481,0.4083524048,2481,31.99708176,2481,31.97829437,2481,31.82509804,2481,29.44312668,
2480,88.83229065,2480,0.4119545817,2480,31.84045219,2480,31.8254261,2480,31.94752884,2480,29.45217705,
2479,88.78914642,2479,0.336292237,2479,32.02849197,2479,32.03262329,2479,31.89768791,2479,29.39648247,
2478,88.66706848,2478,0.5180684328,2478,31.82708359,2478,31.89940453,2478,31.71574402,2478,29.25668335,
2477,88.69277191,2477,0.4378771782,2477,31.84478378,2477,31.86433983,2477,31.64390373,2477,29.25761604,
2476,88.58698273,2476,0.3861443996,2476,31.86410713,2476,31.82771492,2476,31.78658867,2476,29.45044899,
2475,88.58913422,2475,0.4056736231,2475,31.75293541,2475,31.78889084,2475,31.82782173,2475,29.39208794,
2474,88.5825882,2474,0.3029108644,2474,31.83599472,2474,31.93870544,2474,31.69126511,2474,29.43016624,
2473,88.4016037,2473,0.4960130453,2473,31.75223732,2473,31.70443726,2473,31.73685455,2473,29.37065887,
2472,88.38213348,2472,0.4441111684,2472,31.8272171,2472,31.84612656,2472,31.62828636,2472,29.37939835,
2471,88.35690308,2471,0.3191354275,2471,31.74630737,2471,31.78610229,2471,31.85053253,2471,29.39866447,
2470,88.29455566,2470,0.3927856088,2470,31.63764763,2470,31.86850929,2470,31.66521454,2470,29.33758736,
2469,88.26795197,2469,0.389539212,2469,31.78089523,2469,31.79696465,2469,31.63446808,2469,29.39767838,
2468,88.15416718,2468,0.431317091,2468,31.66447258,2468,31.69224548,2468,31.59311104,2468,29.18064308,
2467,88.16455841,2467,0.298273921,2467,31.75382996,2467,31.65044212,2467,31.71531296,2467,29.41330338,
2466,88.15789795,2466,0.2433150262,2466,31.86783218,2466,31.78781319,2466,31.71244812,2466,29.38820457,
2465,88.1727066,2465,0.3462681174,2465,31.65644455,2465,31.67300606,2465,31.73241615,2465,29.35021591,
2464,88.06496429,2464,0.454736501,2464,31.60138702,2464,31.6480217,2464,31.38255119,2464,29.27507401,
2463,87.91169739,2463,0.2954743207,2463,31.71793175,2463,31.81179237,2463,31.67326164,2463,29.40784073,
2462,88.00138855,2462,0.3112505972,2462,31.76702499,2462,31.74749374,2462,31.54077911,2462,29.23059464,
2461,87.88796997,2461,0.4039490521,2461,31.66321564,2461,31.67712021,2461,31.54655457,2461,29.31850815,
2460,87.9023056,2460,0.3859885037,2460,31.52680016,2460,31.64530373,2460,31.57963181,2460,29.26524925,
2459,87.82646942,2459,0.2780591249,2459,31.67183304,2459,31.67003059,2459,31.66881752,2459,29.23806381,
2458,87.75041199,2458,0.4098510444,2458,31.67140198,2458,31.63106728,2458,31.53195381,2458,29.0769577,
2457,87.6605835,2457,0.4435020089,2457,31.52760506,2457,31.55801392,2457,31.4669075,2457,29.23978615,
2456,87.64039612,2456,0.3829925656,2456,31.54251862,2456,31.69069862,2456,31.62280655,2456,29.26613998,
2455,87.56054688,2455,0.3824173212,2455,31.72940063,2455,31.53783417,2455,31.43017197,2455,29.27046204,
2454,87.55620575,2454,0.4574764073,2454,31.55877304,2454,31.47306061,2454,31.46579552,2454,29.12813759,
2453,87.57176971,2453,0.3575589657,2453,31.49011421,2453,31.56380653,2453,31.4630146,2453,29.27824593,
2452,87.5191803,2452,0.4559637904,2452,31.51541328,2452,31.59462738,2452,31.43304825,2452,29.20255089,
2451,87.39317322,2451,0.4633078873,2451,31.46251488,2451,31.54978752,2451,31.3713932,2451,29.28568459,
2450,87.47680664,2450,0.3508120477,2450,31.58377075,2450,31.62910652,2450,31.48313141,2450,29.1857605,
2449,87.34230042,2449,0.3901521564,2449,31.59064865,2449,31.56986809,2449,31.37043762,2449,29.16136742,
2448,87.32598877,2448,0.4010786712,2448,31.42851257,2448,31.50983429,2448,31.40293121,2448,29.18537903,
2447,87.29878235,2447,0.4178160429,2447,31.47987747,2447,31.53010368,2447,31.36406326,2447,29.1228466,
2446,87.173172,2446,0.4450473487,2446,31.54454803,2446,31.3766098,2446,31.4999752,2446,29.16686249,
2445,87.11762238,2445,0.2798509896,2445,31.50101089,2445,31.62695122,2445,31.40906143,2445,29.19995499,
2444,87.11095428,2444,0.4096627235,2444,31.41091537,2444,31.48248291,2444,31.26541901,2444,29.1322937,
2443,87.16890717,2443,0.4298530519,2443,31.32520103,2443,31.4250164,2443,31.37371254,2443,28.9698925,
2442,87.03327942,2442,0.3145195842,2442,31.41119766,2442,31.39356041,2442,31.38811874,2442,29.15108871,
2441,86.85704041,2441,0.3206680417,2441,31.54867554,2441,31.47545433,2441,31.43384171,2441,29.29691887,
2440,86.80325317,2440,0.3528346717,2440,31.37471008,2440,31.53368187,2440,31.40876007,2440,29.24658585,
2439,86.81161499,2439,0.5059003234,2439,31.31027794,2439,31.32177544,2439,31.21459198,2439,29.02861023,
2438,86.79143524,2438,0.360183686,2438,31.27591896,2438,31.42127037,2438,31.35350609,2438,29.10529709,
2437,86.75492096,2437,0.3422052264,2437,31.42480469,2437,31.2856617,2437,31.2534008,2437,29.09770966,
2436,86.70331573,2436,0.4289976358,2436,31.37511063,2436,31.33834076,2436,31.34762573,2436,29.02162933,
2435,86.72748566,2435,0.3638839126,2435,31.38480186,2435,31.28630829,2435,31.23576927,2435,29.1235714,
2434,86.63560486,2434,0.348836571,2434,31.46865654,2434,31.37898827,2434,31.21660423,2434,29.13866997,
2433,86.66363525,2433,0.2599258721,2433,31.34809685,2433,31.43699455,2433,31.30423355,2433,29.131464,
2432,86.5548172,2432,0.3893295825,2432,31.30399513,2432,31.29572868,2432,31.3888073,2432,29.11187172,
2431,86.35869598,2431,0.3931508362,2431,31.37310791,2431,31.27455139,2431,31.24965096,2431,29.16686249,
2430,86.44483948,2430,0.4434998035,2430,31.32916451,2430,31.21533775,2430,31.1936264,2430,28.99650574,
2429,86.3793335,2429,0.4074299634,2429,31.31871605,2429,31.17710114,2429,31.1764183,2429,29.04944038,
2428,86.33463287,2428,0.3725552559,2428,31.23871994,2428,31.36101723,2428,31.10922813,2428,29.04840088,
2427,86.35834503,2427,0.3248842955,2427,31.20313072,2427,31.3086071,2427,31.22851563,2427,29.10881424,
2426,86.28379822,2426,0.3314042091,2426,31.25452042,2426,31.19605255,2426,31.18464661,2426,29.06297493,
2425,86.2693634,2425,0.4436842501,2425,31.1626873,2425,31.05248833,2425,31.10149765,2425,28.8747673,
2424,86.09320831,2424,0.3475963175,2424,31.18218231,2424,31.36043549,2424,31.1714859,2424,29.00753975,
2423,86.14924622,2423,0.3698225617,2423,31.21004486,2423,31.22512054,2423,31.1478405,2423,28.95900917,
2422,86.07357025,2422,0.3997536004,2422,31.17292023,2422,31.15600014,2422,31.08562279,2422,28.96579742,
2421,86.07459259,2421,0.3184390366,2421,31.16223907,2421,31.19921303,2421,31.23526001,2421,29.03754425,
2420,86.00809479,2420,0.3134866357,2420,31.19861412,2420,31.29949951,2420,31.15053558,2420,28.9655323,
2419,85.96557617,2419,0.4085892439,2419,31.07014847,2419,31.08393478,2419,31.00101662,2419,28.86240768,
2418,85.8812027,2418,0.3618254662,2418,31.1690712,2418,31.1312294,2418,31.10482788,2418,28.95453644,
