plaque6,,plaque5,,plaque4,,plaque3,,plaquenoire,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2500,75.8179245,2500,72.31411743,2500,73.88004303,2500,74.48797607,2500,5.874783993,
2499,75.80412292,2499,72.16912842,2499,73.87249756,2499,74.50170898,2499,5.878078938,
2498,75.80609894,2498,72.19390869,2498,73.81388855,2498,74.53445435,2498,5.882414818,
2497,75.84199524,2497,72.14640045,2497,73.85230255,2497,74.54792023,2497,5.887727261,
2496,75.78837585,2496,72.16101837,2496,73.80006409,2496,74.49555969,2496,5.964062691,
2495,75.73487854,2495,72.0945816,2495,73.80838013,2495,74.5276413,2495,5.876693726,
2494,75.75976563,2494,72.07332611,2494,73.77609253,2494,74.49994659,2494,5.795948029,
2493,75.77401733,2493,72.02929688,2493,73.77593994,2493,74.51412964,2493,5.833279133,
2492,75.71826172,2492,71.95272827,2492,73.74380493,2492,74.41118622,2492,5.852023125,
2491,75.69703674,2491,71.96852875,2491,73.7906189,2491,74.46442413,2491,5.828899384,
2490,75.70303345,2490,71.94606018,2490,73.76335144,2490,74.40023804,2490,5.867388248,
2489,75.74180603,2489,71.96045685,2489,73.8057785,2489,74.46788025,2489,5.89245224,
2488,75.68831635,2488,71.86090088,2488,73.72116852,2488,74.40208435,2488,5.855899811,
2487,75.6947937,2487,71.87366486,2487,73.71666718,2487,74.39007568,2487,5.885045052,
2486,75.6876297,2486,71.8342514,2486,73.68757629,2486,74.37593079,2486,5.830438614,
2485,75.64929962,2485,71.8500824,2485,73.67963409,2485,74.37802887,2485,5.825808048,
2484,75.68736267,2484,71.82834625,2484,73.59750366,2484,74.39380646,2484,5.869329929,
2483,75.62854767,2483,71.71073914,2483,73.60784912,2483,74.29750824,2483,5.773963928,
2482,75.68674469,2482,71.76707458,2482,73.64404297,2482,74.37911224,2482,5.859842777,
2481,75.65219116,2481,71.7702713,2481,73.70420074,2481,74.40229034,2481,5.863466263,
2480,75.69001007,2480,71.7461319,2480,73.67394257,2480,74.41327667,2480,5.883548737,
2479,75.64769745,2479,71.73735046,2479,73.69908142,2479,74.36405182,2479,5.837988377,
2478,75.60460663,2478,71.69286346,2478,73.61367798,2478,74.31323242,2478,5.887574196,
2477,75.65232086,2477,71.68855286,2477,73.60279846,2477,74.33237457,2477,5.813928127,
2476,75.59946442,2476,71.66594696,2476,73.59137726,2476,74.3756485,2476,5.894794464,
2475,75.62418365,2475,71.67893982,2475,73.59915161,2475,74.3391571,2475,5.852749825,
2474,75.61441803,2474,71.60947418,2474,73.60443115,2474,74.34550476,2474,5.805911541,
2473,75.60379028,2473,71.65505219,2473,73.60725403,2473,74.40467072,2473,5.858880997,
2472,75.60356903,2472,71.63959503,2472,73.59396362,2472,74.37783813,2472,5.85017395,
2471,75.61158752,2471,71.63065338,2471,73.57507324,2471,74.33406067,2471,5.823329449,
2470,75.57839966,2470,71.5695343,2470,73.52462006,2470,74.27414703,2470,5.776927471,
2469,75.61717987,2469,71.62257385,2469,73.55545044,2469,74.24455261,2469,5.878070831,
2468,75.56774902,2468,71.57695007,2468,73.5680542,2468,74.29592896,2468,5.849615097,
2467,75.55766296,2467,71.52963257,2467,73.54109955,2467,74.3068161,2467,5.86508894,
2466,75.61947632,2466,71.59350586,2466,73.5354538,2466,74.30446625,2466,5.88984251,
2465,75.57371521,2465,71.57833099,2465,73.51455688,2465,74.29600525,2465,5.900407791,
2464,75.51047516,2464,71.52003479,2464,73.53083038,2464,74.24697113,2464,5.818618298,
2463,75.57633209,2463,71.5138092,2463,73.53897095,2463,74.27998352,2463,5.764678478,
2462,75.51898193,2462,71.49719238,2462,73.53661346,2462,74.27316284,2462,5.874334812,
2461,75.57712555,2461,71.48002625,2461,73.49525452,2461,74.27282715,2461,5.822758675,
2460,75.56907654,2460,71.50624847,2460,73.53503418,2460,74.25546265,2460,5.877430439,
2459,75.55328369,2459,71.49104309,2459,73.53026581,2459,74.22554016,2459,5.813182354,
